"Semana.","Área natural protegida","Categoría","Tipo","Estado","Municipio","Posible causa","Tipo de vegetación","Superficie","Total días/persona","Tipo de atención","Latitud","Longitud"
"53","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","SAN FRANCISCO TETLANOHCAN","Desconocidas","Bosque de Pino","0.2934","3","Combate","19.260662","-98.08015"
"53","Pico de Orizaba","Parque Natural","Federal","puebla","ATZITZINTLA","Desconocidas","Bosque de Pino","20","66","Combate","18.947573","-97.33087"
"53","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","VILLA DE ALLENDE","Intencional","Bosque de Pino-Encino","5.307","8","Combate","19.386105","-100.17627"
"53","Iztaccíhuatl-Popocatépetl","Parque Nacional","Federal","méxico","AMECAMECA","Actividades pecuarias","Bosque de Pino","294.247","122","Combate","19.15634","-98.66879"
"53","La Primavera","Área de Protección de Flora y Fauna","Federal","jalisco","ZAPOPAN","Desconocidas","Bosque de Encino","7.9589","26","Combate","20.654755","-103.52329"
"53","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","PUEBLO NUEVO","Fogatas","Bosque de Pino-Encino","412.7764","72","Combate","23.326944","-105.04806"
"53","Sierra de Guadalupe","Zona Sujeta a Conservación Ecológica","Estatal","ciudad de méxico","GUSTAVO A. MADERO","Festividades y rituales","Matorral Crasicaule","2.6828","14","Combate","19.55807","-99.154724"
"53","El Tepeyac","Parque Nacional","Federal","ciudad de méxico","GUSTAVO A. MADERO","Intencional","Bosque Cultivado","0.8155","10","Combate","19.49359","-99.10992"
"53","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","IZTAPALAPA","Actividades pecuarias","Matorral Crasicaule","0.39","22","Combate","19.3312","-98.97414"
"52","Lagunas de Zempoala","Parque Nacional","Federal","morelos","HUITZILAC","Intencional","Bosque de Pino","12.9245","120","Combate","19.050955","-99.282745"
"52","Sierra de Guadalupe","Zona Sujeta a Conservación Ecológica","Estatal","ciudad de méxico","GUSTAVO A. MADERO","Festividades y rituales","Matorral Crasicaule","0.3389","4","Combate","19.509672","-99.11087"
"52","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","TLÁHUAC","Actividades pecuarias","Matorral Crasicaule","0.12","9","Combate","19.32453","-98.97239"
"52","Papigochic","Área de Protección de Flora y Fauna","Federal","chihuahua","BOCOYNA","Festividades y rituales","Bosque de Pino","31.3761","20","Combate","27.914722","-107.679726"
"51","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","CHIAUTEMPAN","Actividades agrícolas","Bosque de Pino","1.5021","5","Combate","19.255583","-98.105064"
"51","Pico de Orizaba","Parque Natural","Federal","puebla","TLACHICHUCA","Actividades pecuarias","Bosque de Pino","20.5","63","Combate","19.092628","-97.29726"
"51","Iztaccíhuatl-Popocatépetl","Parque Nacional","Federal","méxico","IXTAPALUCA","Intencional","Pastizal Halófilo","13.288","16","Combate","19.340834","-98.6875"
"51","Manantial La Mintzita","Zona de Restauración y Protección Ambiental","Estatal","michoacán","MORELIA","Desconocidas","Bosque Cultivado","0.0112","21","Combate","19.630333","-101.27712"
"51","La Primavera","Área de Protección de Flora y Fauna","Federal","jalisco","TALA","Actividades agrícolas","Bosque de Encino","0.043","4","Combate","20.60095","-103.56277"
"51","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","IZTAPALAPA","Actividades pecuarias","Matorral Crasicaule","0.41","10","Combate","19.33232","-98.97081"
"51","Ejido San Ignacio de Arareco","Áreas Destinadas Voluntariamente a la Conservación","Federal","chihuahua","BOCOYNA","Festividades y rituales","Bosque de Pino","31.0737","5","Combate","27.671755","-107.64066"
"51","La Sepultura","Reserva de la Biósfera","Federal","chiapas","ARRIAGA","Desconocidas","Sabanoide","449.6644","38","Combate","16.248083","-93.89689"
"50","De La Mariposa Monarca","Paisaje Natural","Estatal","tamaulipas","MIQUIHUANA","Cazadores","Matorral Desértico Rosetófilo","20.889","16","Combate","23.612328","-99.806984"
"50","Sierra Condiro Canales - Cerro San Miguel Chiquihuitillo","Área Estatal de Protección Hidrológica","Estatal","jalisco","LAGOS DE MORENO","Desconocidas","Pastizal Natural","53.657","9","Combate","21.39709","-101.85603"
"50","Sierra Tecuani","Reserva de la Biósfera","Federal","guerrero","AJUCHITLÁN DEL PROGRESO","Desconocidas","Bosque de Encino-Pino","36.342","0","Monitoreo","17.824638","-100.57747"
"50","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Intencional","Bosque de Pino","21.6306","78","Combate","19.116598","-98.99532"
"50","Ejidos de Xochimilco y San Gregorio Atlapulco","Zona Sujeta a Conservación Ecológica","Estatal","ciudad de méxico","XOCHIMILCO","Intencional","Vegetación Halófila Hidrófila","2","45","Combate","19.293598","-99.099686"
"50","Cerro de La Estrella","Parque Nacional","Federal","ciudad de méxico","IZTAPALAPA","Quema de basureros","Matorral Crasicaule","1.4597","11","Combate","19.335337","-99.092545"
"50","Sierra de Guadalupe","Zona Sujeta a Conservación Ecológica","Estatal","ciudad de méxico","GUSTAVO A. MADERO","Intencional","Matorral Crasicaule","0.8615","9","Combate","19.50735","-99.1091"
"50","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","0.495","9","Combate","19.174585","-99.19997"
"50","Cerro de La Estrella","Parque Nacional","Federal","ciudad de méxico","IZTAPALAPA","Quema de basureros","Matorral Crasicaule","0.348","9","Combate","19.334341","-99.09278"
"49","La Bufa","Parque Municipal","Municipal","zacatecas","ZACATECAS","Intencional","Matorral Crasicaule","0.3084","17","Combate","22.779772","-102.56816"
"49","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","TEMASCALTEPEC","Desconocidas","Bosque Mesófilo de Montaña","4.2","9","Combate","19.072636","-99.98591"
"49","Parque Ecológico y Recreativo de Tenancingo, Malinalco y Zumpahuacan","Parque Estatal","Estatal","méxico","TENANCINGO","Intencional","Bosque de Encino","3.605","35","Combate","18.969858","-99.51908"
"49","Cerro El Tajo","Zona de Recuperación Ambiental","Estatal","jalisco","TLAJOMULCO DE ZÚÑIGA","Desconocidas","Bosque de Encino","1.6481","91","Combate","20.583471","-103.45764"
"49","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","MEZQUITAL","Desconocidas","Bosque de Encino-Pino","53.6383","0","Monitoreo","23.127222","-104.35306"
"49","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","TLÁHUAC","Intencional","Matorral Crasicaule","3.4061","10","Combate","19.320047","-98.96628"
"49","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","TLÁHUAC","Actividades agrícolas","Matorral Crasicaule","0.3165","21","Combate","19.300478","-99.00106"
"49","Sierra de Santa Catarina","Zona de Preservación Ecológica","Estatal","ciudad de méxico","IZTAPALAPA","Actividades pecuarias","Matorral Crasicaule","0.5827","6","Combate","19.332031","-98.97235"
"49","La Encrucijada","Reserva de la Biósfera","Federal","chiapas","VILLA COMALTITLÁN","Cazadores","Tular","891.6337","14","Combate","15.049373","-92.710014"
"48","Corredor Biológico Chichinautzin","Área de Protección de Flora y Fauna","Federal","morelos","TLALNEPANTLA","Actividades pecuarias","Bosque de Pino","98.0779","37","Combate","19.066858","-99.00116"
"48","Cerro de La Estrella","Parque Nacional","Federal","ciudad de méxico","IZTAPALAPA","Quema de basureros","Matorral Crasicaule","0.6534","18","Combate","19.334448","-99.095184"
"48","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","0.27","7","Combate","19.137728","-99.008675"
"48","El Tepeyac","Parque Nacional","Federal","ciudad de méxico","GUSTAVO A. MADERO","Festividades y rituales","Bosque Cultivado","0.1456","21","Combate","19.490772","-99.114044"
"48","La Encrucijada","Reserva de la Biósfera","Federal","chiapas","VILLA COMALTITLÁN","Cazadores","Tular","43.0745","8","Combate","15.123161","-92.71772"
"47","Bavispe","Área de Protección de Flora y Fauna","Federal","sonora","BACOACHI","Desconocidas","Bosque de Encino","60.2013","90","Combate","30.64024","-109.787605"
"46","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","MEZQUITAL","Fumadores","Bosque de Pino-Encino","4.5662","16","Combate","23.459444","-104.73444"
"46","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","0.6919","8","Combate","19.135328","-99.18704"
"43","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","PUEBLO NUEVO","Desconocidas","Bosque de Pino","57.7274","0","Monitoreo","23.146944","-105.02556"
"43","Corredor Biológico Chichinautzin","Área de Protección de Flora y Fauna","Federal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","0.3933","8","Combate","19.096222","-99.21287"
"41","La Primavera","Área de Protección de Flora y Fauna","Federal","jalisco","ZAPOPAN","Intencional","Bosque de Encino","1.1794","15","Combate","20.71158","-103.555954"
"40","Papigochic","Área de Protección de Flora y Fauna","Federal","chihuahua","GUERRERO","Actividades agrícolas","Bosque de Pino","124.9593","31","Combate","28.114395","-107.84607"
"35","Cuatrociénegas","Área de Protección de Flora y Fauna","Federal","coahuila","CUATRO CIÉNEGAS","Desconocidas","Pastizal Halófilo","5","22","Combate","26.949667","-102.14939"
"35","Constitución de 1857","Parque Nacional","Federal","baja california","ENSENADA","Naturales","Bosque de Pino","4.4184","21","Combate","32.067326","-115.893234"
"34","Cienegas y Manglares de la Costa Norte de Yucatán","Reserva Estatal","Estatal","yucatán","HUNUCMÁ","Naturales","Tular","650.4797","45","Combate","21.131903","-90.02078"
"33","Sian Ka'an","Reserva de la Biósfera","Federal","quintana roo","FELIPE CARRILLO PUERTO","Cazadores","Tular","2513.3068","36","Monitoreo","19.69655","-87.77542"
"31","Sierra de San Pedro Mártir","Parque Nacional","Federal","baja california","ENSENADA","Naturales","Bosque de Pino","2.0595","23","Combate","30.959688","-115.52659"
"30","Pantanos de Centla","Reserva de la Biósfera","Federal","tabasco","CENTLA","Cazadores","Popal","1786.537","3","Monitoreo","18.442541","-92.43146"
"29","Janos","Reserva de la Biósfera","Federal","chihuahua","JANOS","Actividades agrícolas","Bosque de Encino-Pino","153.6511","20","Combate","30.453558","-108.57761"
"28","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Intencional","Pastizal Halófilo","2.1343","13","Combate","19.115566","-99.02241"
"27","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","nayarit","DEL NAYAR","Desconocidas","Bosque Mesófilo de Montaña","217.6068","0","Monitoreo","22.28094","-104.82163"
"26","El Cielo","Zona Sujeta a Conservación Ecológica","Estatal","tamaulipas","JAUMAVE","Naturales","Bosque de Pino-Encino","1500","1141","Combate","23.186306","-99.2475"
"26","Área de Conservación Los Ojos 2 Fracciones C y D","Áreas Destinadas Voluntariamente a la Conservación","Federal","sonora","AGUA PRIETA","Desconocidas","Pastizal Natural","351.5032","634","Combate","31.315891","-109.035164"
"26","Bavispe","Área de Protección de Flora y Fauna","Federal","sonora","CANANEA","Desconocidas","Bosque de Encino","0.7147","59","Combate","31.01339","-110.320816"
"26","Área de Conservación Los Ojos 3 Fracciones E, F, G, H, I","Áreas Destinadas Voluntariamente a la Conservación","Federal","sonora","AGUA PRIETA","Desconocidas","Pastizal Natural","50.4916","12","Combate","31.308731","-108.99445"
