clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza_porcentaje,pobreza_poblacion,pobreza_extrema_porcentaje,pobreza_extrema_poblacion,pobreza_moderada_porcentaje,pobreza_moderada_poblacion,vulnerable_carencias_sociales_porcentaje,vulnerable_carencias_sociales_poblacion,vulnerable_ingresos_porcentaje,vulnerable_ingresos_poblacion,no_pobre_no_vulnerable_porcentaje,no_pobre_no_vulnerable_poblacion,carencia_rezago_educativo_porcentaje,carencia_rezago_educativo_poblacion,carencia_servicios_de_salud_porcentaje,carencia_servicios_de_salud_poblacion,carencia_seguridad_social_porcentaje,carencia_seguridad_social_poblacion,carencia_calidad_espacios_vivienda_porcentaje,carencia_calidad_espacios_vivienda_poblacion,carencia_servicios_basicos_vivienda_porcentaje,carencia_servicios_basicos_vivienda_poblacion,carencia_alimentacion_nutritiva_calidad_porcentaje,carencia_alimentacion_nutritiva_calidad_poblacion,al_menos_una_carencia_porcentaje,al_menos_una_carencia_poblacion,al_menos_tres_carencias_porcentaje,al_menos_tres_carencias_poblacion,ingreso_inferior_a_lpi_porcentaje,ingreso_inferior_a_lpi_poblacion,ingreso_inferior_a_lpei_porcentaje,ingreso_inferior_a_lpei_poblacion,periodo,entidad,fn_poblacion,fn_pobreza_porcentaje,fn_pobreza_poblacion,fn_pobreza_extrema_porcentaje,fn_pobreza_extrema_poblacion,fn_pobreza_moderada_porcentaje,fn_pobreza_moderada_poblacion,fn_vulnerable_carencias_sociales_porcentaje,fn_vulnerable_carencias_sociales_poblacion,fn_vulnerable_ingresos_porcentaje,fn_vulnerable_ingresos_poblacion,fn_no_pobre_no_vulnerable_porcentaje,fn_no_pobre_no_vulnerable_poblacion,fn_carencia_rezago_educativo_porcentaje,fn_carencia_rezago_educativo_poblacion,fn_carencia_servicios_de_salud_porcentaje,fn_carencia_servicios_de_salud_poblacion,fn_carencia_seguridad_social_porcentaje,fn_carencia_seguridad_social_poblacion,fn_carencia_calidad_espacios_vivienda_porcentaje,fn_carencia_calidad_espacios_vivienda_poblacion,fn_carencia_servicios_basicos_vivienda_porcentaje,fn_carencia_servicios_basicos_vivienda_poblacion,fn_carencia_alimentacion_nutritiva_calidad_porcentaje,fn_carencia_alimentacion_nutritiva_calidad_poblacion,fn_al_menos_una_carencia_porcentaje,fn_al_menos_una_carencia_poblacion,fn_al_menos_tres_carencias_porcentaje,fn_al_menos_tres_carencias_poblacion,fn_ingreso_inferior_a_lpi_porcentaje,fn_ingreso_inferior_a_lpi_poblacion,fn_ingreso_inferior_a_lpei_porcentaje,fn_ingreso_inferior_a_lpei_poblacion,entidad_federativa_etq
1,Aguascalientes,1001,Aguascalientes,922268,23.7,218414,2.0,18206,21.7,200208,27.9,257144,10.0,92030,38.5,354680,9.4,86469,20.0,184627,37.8,348296,2.3,21494,1.1,10473,15.8,145444,51.6,475558,7.2,66231,33.7,310444,9.0,82866,2020-01-01,Aguascalientes,922268.0,23.7,218414.0,2.0,18206.0,21.7,200208.0,27.9,257144.0,10.0,92030.0,38.5,354680.0,9.4,86469.0,20.0,184627.0,37.8,348296.0,2.3,21494.0,1.1,10473.0,15.8,145444.0,51.6,475558.0,7.2,66231.0,33.7,310444.0,9.0,82866.0,Aguascalientes
1,Aguascalientes,1002,Asientos,48635,40.1,19518,4.1,2015,36.0,17503,39.6,19243,6.6,3219,13.7,6655,21.7,10549,16.5,8008,62.1,30196,7.9,3842,7.4,3604,28.5,13870,79.7,38761,15.7,7650,46.8,22737,15.8,7683,2020-01-01,Aguascalientes,48635.0,40.1,19518.0,4.1,2015.0,36.0,17503.0,39.6,19243.0,6.6,3219.0,13.7,6655.0,21.7,10549.0,16.5,8008.0,62.1,30196.0,7.9,3842.0,7.4,3604.0,28.5,13870.0,79.7,38761.0,15.7,7650.0,46.8,22737.0,15.8,7683.0,Aguascalientes
1,Aguascalientes,1003,Calvillo,52377,45.8,23966,4.5,2356,41.3,21609,40.5,21199,3.8,1970,10.0,5243,24.6,12896,21.0,11016,76.2,39886,5.8,3062,3.1,1612,20.1,10552,86.2,45164,14.4,7520,49.5,25935,16.0,8380,2020-01-01,Aguascalientes,52377.0,45.8,23966.0,4.5,2356.0,41.3,21609.0,40.5,21199.0,3.8,1970.0,10.0,5243.0,24.6,12896.0,21.0,11016.0,76.2,39886.0,5.8,3062.0,3.1,1612.0,20.1,10552.0,86.2,45164.0,14.4,7520.0,49.5,25935.0,16.0,8380.0,Aguascalientes
1,Aguascalientes,1004,Cosío,15942,37.0,5905,3.4,538,33.7,5366,32.2,5138,9.9,1583,20.8,3316,15.8,2514,17.6,2804,47.5,7576,9.3,1488,4.4,701,25.0,3980,69.3,11043,10.9,1736,47.0,7488,16.5,2634,2020-01-01,Aguascalientes,15942.0,37.0,5905.0,3.4,538.0,33.7,5366.0,32.2,5138.0,9.9,1583.0,20.8,3316.0,15.8,2514.0,17.6,2804.0,47.5,7576.0,9.3,1488.0,4.4,701.0,25.0,3980.0,69.3,11043.0,10.9,1736.0,47.0,7488.0,16.5,2634.0,Aguascalientes
1,Aguascalientes,1005,Jesús María,127962,26.3,33708,3.3,4204,23.1,29503,33.0,42186,7.7,9857,33.0,42211,16.8,21483,21.1,26973,41.9,53574,6.8,8753,2.3,2952,17.9,22945,59.3,75894,11.0,14069,34.0,43565,10.9,13912,2020-01-01,Aguascalientes,127962.0,26.3,33708.0,3.3,4204.0,23.1,29503.0,33.0,42186.0,7.7,9857.0,33.0,42211.0,16.8,21483.0,21.1,26973.0,41.9,53574.0,6.8,8753.0,2.3,2952.0,17.9,22945.0,59.3,75894.0,11.0,14069.0,34.0,43565.0,10.9,13912.0,Aguascalientes
1,Aguascalientes,1006,Pabellón de Arteaga,45100,28.9,13042,2.9,1297,26.0,11745,31.7,14285,10.3,4623,29.2,13150,14.9,6741,21.1,9511,45.3,20426,6.7,3007,3.5,1579,16.6,7501,60.6,27327,10.7,4831,39.2,17665,11.5,5180,2020-01-01,Aguascalientes,45100.0,28.9,13042.0,2.9,1297.0,26.0,11745.0,31.7,14285.0,10.3,4623.0,29.2,13150.0,14.9,6741.0,21.1,9511.0,45.3,20426.0,6.7,3007.0,3.5,1579.0,16.6,7501.0,60.6,27327.0,10.7,4831.0,39.2,17665.0,11.5,5180.0,Aguascalientes
1,Aguascalientes,1007,Rincón de Romos,53844,40.5,21813,5.6,2995,34.9,18817,31.9,17154,8.2,4437,19.4,10440,15.8,8529,22.4,12035,58.1,31286,8.9,4776,5.9,3174,23.8,12825,72.4,38967,15.7,8452,48.8,26250,18.0,9668,2020-01-01,Aguascalientes,53844.0,40.5,21813.0,5.6,2995.0,34.9,18817.0,31.9,17154.0,8.2,4437.0,19.4,10440.0,15.8,8529.0,22.4,12035.0,58.1,31286.0,8.9,4776.0,5.9,3174.0,23.8,12825.0,72.4,38967.0,15.7,8452.0,48.8,26250.0,18.0,9668.0,Aguascalientes
1,Aguascalientes,1008,San José de Gracia,9201,45.8,4211,2.3,214,43.4,3998,35.7,3282,5.4,496,13.2,1211,14.6,1343,8.1,749,74.0,6809,3.8,351,5.1,469,10.5,967,81.4,7494,6.8,622,51.2,4708,16.1,1482,2020-01-01,Aguascalientes,9201.0,45.8,4211.0,2.3,214.0,43.4,3998.0,35.7,3282.0,5.4,496.0,13.2,1211.0,14.6,1343.0,8.1,749.0,74.0,6809.0,3.8,351.0,5.1,469.0,10.5,967.0,81.4,7494.0,6.8,622.0,51.2,4708.0,16.1,1482.0,Aguascalientes
1,Aguascalientes,1009,Tepezalá,20898,37.6,7868,3.1,658,34.5,7209,38.4,8028,7.2,1507,16.7,3495,20.3,4242,17.0,3560,59.4,12413,6.5,1367,7.7,1607,21.9,4572,76.1,15896,13.6,2832,44.9,9375,16.4,3425,2020-01-01,Aguascalientes,20898.0,37.6,7868.0,3.1,658.0,34.5,7209.0,38.4,8028.0,7.2,1507.0,16.7,3495.0,20.3,4242.0,17.0,3560.0,59.4,12413.0,6.5,1367.0,7.7,1607.0,21.9,4572.0,76.1,15896.0,13.6,2832.0,44.9,9375.0,16.4,3425.0,Aguascalientes
1,Aguascalientes,1010,El Llano,20182,40.6,8196,4.8,971,35.8,7225,37.9,7647,5.4,1089,16.1,3250,21.2,4279,23.0,4639,59.7,12050,8.6,1733,8.3,1685,24.4,4924,78.5,15843,16.2,3260,46.0,9285,16.5,3335,2020-01-01,Aguascalientes,20182.0,40.6,8196.0,4.8,971.0,35.8,7225.0,37.9,7647.0,5.4,1089.0,16.1,3250.0,21.2,4279.0,23.0,4639.0,59.7,12050.0,8.6,1733.0,8.3,1685.0,24.4,4924.0,78.5,15843.0,16.2,3260.0,46.0,9285.0,16.5,3335.0,Aguascalientes
