"FOLIO","VIV_SEL","HOGAR","N_REN","PAREN","SEXO","EDAD","P4_5","P4_6","NIVEL","GRADO","P4_8","P4_9","P4_10_1","P4_10_2","P4_10_3","ALFABETISMO","ENT","TLOC","FAC_HOG","EST_DIS","UPM_DIS"
"00001","01","1","01","1","1","65","2","","02","2","1","5","20","06","","1","01","1",358,"002","0000001"
"00001","01","1","02","2","2","63","2","","02","6","1","5","31","05","","1","01","1",358,"002","0000001"
"00001","01","1","03","3","1","32","2","","06","3","","6","14","10","","1","01","1",358,"002","0000001"
"00001","01","1","04","3","1","27","2","","08","5","","6","05","08","1","1","01","1",358,"002","0000001"
"00002","02","1","01","1","2","81","2","","00","0","2","4","19","11","","2","01","1",358,"002","0000001"
"00002","02","1","02","3","2","54","2","","02","6","1","6","14","10","1","1","01","1",358,"002","0000001"
"00003","05","1","01","1","2","34","2","","08","4","","6","20","06","1","1","01","1",358,"002","0000001"
"00003","05","1","02","3","1","05","2","","01","1","9","","","","","9","01","1",358,"002","0000001"
"00004","01","1","01","1","2","47","2","","08","5","","6","31","01","","1","01","1",333,"002","0000002"
"00004","01","1","02","6","2","78","2","","02","6","1","4","05","02","1","1","01","1",333,"002","0000002"
"00005","03","1","01","1","1","57","2","","08","5","","5","31","10","","1","01","1",333,"002","0000002"
"00005","03","1","02","2","2","51","2","","06","2","","5","18","03","","1","01","1",333,"002","0000002"
"00005","03","1","03","3","2","25","2","","06","3","","6","25","06","1","1","01","1",333,"002","0000002"
"00005","03","1","04","4","2","08","2","","02","2","1","","","","","1","01","1",333,"002","0000002"
"00006","04","1","01","1","2","64","2","","02","6","1","4","24","09","1","1","01","1",333,"002","0000002"
"00006","04","1","02","3","1","34","2","","03","3","","6","09","02","","1","01","1",333,"002","0000002"
"00007","05","1","01","1","1","55","2","","06","3","","3","06","08","","1","01","1",333,"002","0000002"
"00007","05","1","02","7","1","28","2","","06","1","","6","28","04","","1","01","1",333,"002","0000002"
"00007","05","1","03","7","1","21","2","","08","1","","6","03","05","1","1","01","1",333,"002","0000002"
"00008","01","1","01","1","2","40","2","","08","4","","1","01","05","","1","01","1",445,"003","0000003"
"00008","01","1","02","2","1","41","2","","07","2","","1","31","08","1","1","01","1",445,"003","0000003"
"00008","01","1","04","3","2","15","2","","03","3","","6","","","","1","01","1",445,"003","0000003"
"00008","01","1","03","3","2","16","2","","06","2","","6","","","","1","01","1",445,"003","0000003"
"00008","01","1","05","3","1","02","","","","","","","","","","","01","1",445,"003","0000003"
"00009","02","1","01","1","2","42","2","","08","5","","6","09","06","","1","01","1",445,"003","0000003"
"00009","02","1","02","7","2","36","2","","08","5","","3","19","06","1","1","01","1",445,"003","0000003"
"00010","03","1","01","1","1","75","2","","08","5","","5","08","03","","1","01","1",445,"003","0000003"
"00010","03","1","02","2","2","70","2","","05","3","","5","18","01","","1","01","1",445,"003","0000003"
"00010","03","1","03","3","2","32","2","","08","5","","6","20","02","1","1","01","1",445,"003","0000003"
"00011","04","1","01","1","1","63","2","","03","3","","5","13","09","","1","01","1",445,"003","0000003"
"00011","04","1","02","2","2","62","2","","03","3","","5","24","12","1","1","01","1",445,"003","0000003"
"00012","05","1","01","1","1","78","2","","02","6","1","4","26","04","1","1","01","1",445,"003","0000003"
"00013","01","1","01","1","1","72","2","","02","2","2","4","06","11","","2","01","1",318,"001","0000004"
"00013","01","1","05","3","2","32","2","","02","6","1","6","07","05","","1","01","1",318,"001","0000004"
"00013","01","1","03","3","1","34","2","","02","2","9","2","01","06","","9","01","1",318,"001","0000004"
"00013","01","1","04","3","1","35","2","","02","1","9","2","04","05","","9","01","1",318,"001","0000004"
"00013","01","1","02","3","1","27","2","","02","3","1","6","08","08","1","1","01","1",318,"001","0000004"
"00013","01","1","07","4","1","01","","","","","","","","","","","01","1",318,"001","0000004"
"00013","01","1","06","4","1","09","2","","02","2","1","","","","","1","01","1",318,"001","0000004"
"00014","02","1","01","1","1","79","2","","08","5","","5","27","09","","1","01","1",318,"001","0000004"
"00014","02","1","02","2","2","76","2","","03","3","","5","14","01","1","1","01","1",318,"001","0000004"
"00015","04","1","01","1","1","27","2","","03","3","","1","08","10","1","1","01","1",318,"001","0000004"
"00015","04","1","02","2","2","31","2","","03","3","","1","28","01","","1","01","1",318,"001","0000004"
"00015","04","1","04","3","2","06","2","","01","3","9","","","","","9","01","1",318,"001","0000004"
"00015","04","1","05","3","1","06","2","","01","3","9","","","","","9","01","1",318,"001","0000004"
"00015","04","1","03","3","2","08","2","","02","2","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","01","1","1","88","2","","00","0","1","5","24","05","1","1","01","1",318,"001","0000004"
"00016","05","1","02","2","2","78","2","","00","0","1","5","08","06","","1","01","1",318,"001","0000004"
"00016","05","1","03","3","2","45","2","","00","0","9","6","05","04","","9","01","1",318,"001","0000004"
"00016","05","1","04","3","2","42","2","","03","3","","6","28","09","","1","01","1",318,"001","0000004"
"00016","05","1","08","3","1","42","2","","03","3","","6","28","08","","1","01","1",318,"001","0000004"
"00016","05","1","05","4","1","07","2","","02","1","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","07","4","2","06","2","","01","3","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","06","4","2","09","2","","02","3","1","","","","","1","01","1",318,"001","0000004"
"00017","01","1","01","1","2","30","2","","03","3","","2","20","08","1","1","01","1",349,"001","0000005"
"00017","01","1","04","3","2","02","","","","","","","","","","","01","1",349,"001","0000005"
"00017","01","1","03","3","1","06","2","","01","3","9","","","","","9","01","1",349,"001","0000005"
"00017","01","1","02","3","1","13","2","","02","6","1","6","","","","1","01","1",349,"001","0000005"
"00018","02","1","01","1","1","49","2","","08","5","","5","05","01","","1","01","1",349,"001","0000005"
"00018","02","1","02","2","2","45","2","","08","5","","5","08","08","1","1","01","1",349,"001","0000005"
"00018","02","1","03","3","2","27","2","","08","1","","6","10","10","","1","01","1",349,"001","0000005"
"00019","05","1","01","1","2","50","2","","08","5","","6","25","02","1","1","01","1",349,"001","0000005"
"00019","05","1","02","6","2","76","2","","00","0","9","4","24","01","","9","01","1",349,"001","0000005"
"00019","05","1","03","7","1","20","2","","08","1","","6","20","02","","1","01","1",349,"001","0000005"
"00020","01","1","01","1","1","58","2","","02","6","1","1","05","01","","1","01","1",342,"001","0000006"
"00020","01","1","02","2","2","52","2","","02","2","1","1","08","01","1","1","01","1",342,"001","0000006"
"00020","01","1","03","3","2","26","2","","02","6","1","1","18","01","","1","01","1",342,"001","0000006"
"00020","01","1","06","4","2","05","2","","01","2","2","","","","","2","01","1",342,"001","0000006"
"00020","01","1","07","4","2","04","","","","","","","","","","","01","1",342,"001","0000006"
"00020","01","1","05","4","2","11","2","","02","4","1","","","","","1","01","1",342,"001","0000006"
"00020","01","1","04","7","1","30","2","","00","0","9","1","13","10","","9","01","1",342,"001","0000006"
"00021","02","1","01","1","2","49","2","","02","3","1","3","27","04","1","1","01","1",342,"001","0000006"
"00021","02","1","02","3","2","19","2","","03","3","","6","02","02","","1","01","1",342,"001","0000006"
"00022","04","1","01","1","1","55","2","","02","4","1","5","25","06","","1","01","1",342,"001","0000006"
"00022","04","1","02","2","2","50","2","","02","6","1","5","13","01","","1","01","1",342,"001","0000006"
"00022","04","1","04","3","1","33","2","","03","3","","6","29","12","1","1","01","1",342,"001","0000006"
"00022","04","1","03","7","2","64","2","","00","0","9","6","15","01","","9","01","1",342,"001","0000006"
"00023","05","1","01","1","1","35","2","","03","3","","1","23","11","1","1","01","1",342,"001","0000006"
"00023","05","1","02","2","2","29","2","","06","3","","1","28","09","","1","01","1",342,"001","0000006"
"00023","05","1","03","3","2","07","2","","02","1","2","","","","","2","01","1",342,"001","0000006"
"00024","01","1","01","1","1","71","2","","99","9","1","5","15","08","","1","01","1",356,"002","0000007"
"00024","01","1","02","2","2","67","2","","99","9","1","5","03","12","","1","01","1",356,"002","0000007"
