"FOLIO","VIV_SEL","P1_1","P1_2","P1_3","P1_4","P1_5","P1_6","P1_7_1","P1_7_2","P1_7_3","P1_7_4","P1_7_5","P1_7_6","P1_7_7","P1_7_8","P2_1","P2_2","P2_3","ENT","TLOC","FAC_VIV","EST_DIS","UPM_DIS"
"00001","01","3","02","1","1","1","1","2","1","1","1","1","1","1","1","04","1","","01","1",357,"002","0000001"
"00002","02","2","02","1","1","1","1","2","2","2","2","2","2","2","","02","1","","01","1",357,"002","0000001"
"00003","05","3","01","1","1","1","1","1","1","1","1","2","2","1","2","02","1","","01","1",357,"002","0000001"
"00004","01","3","02","1","1","1","1","1","1","1","1","2","2","2","","02","1","","01","1",332,"002","0000002"
"00005","03","3","02","1","1","1","1","1","1","1","1","1","2","1","1","04","1","","01","1",332,"002","0000002"
"00006","04","3","02","1","1","1","1","1","1","2","1","2","2","1","2","02","1","","01","1",332,"002","0000002"
"00007","05","3","03","1","1","1","1","1","1","1","1","1","1","1","2","03","1","","01","1",332,"002","0000002"
"00008","01","3","03","1","1","1","1","1","1","1","1","1","2","1","1","05","1","","01","1",438,"003","0000003"
"00009","02","3","03","1","1","1","1","1","1","1","1","1","2","1","1","02","1","","01","1",438,"003","0000003"
"00010","03","3","02","1","1","1","1","1","1","1","1","1","2","1","1","03","1","","01","1",438,"003","0000003"
"00011","04","3","03","1","1","1","1","1","1","1","1","1","2","1","2","02","1","","01","1",438,"003","0000003"
"00012","05","3","03","1","1","1","1","1","1","1","1","2","2","1","2","01","1","","01","1",438,"003","0000003"
"00013","01","2","01","2","1","1","1","1","1","2","2","2","2","2","","07","1","","01","1",316,"001","0000004"
"00014","02","3","01","1","1","1","1","1","1","1","1","1","2","2","","02","1","","01","1",316,"001","0000004"
"00015","04","2","03","1","1","1","1","1","1","1","1","2","1","1","1","05","1","","01","1",316,"001","0000004"
"00016","05","3","05","1","1","1","1","1","1","2","1","2","2","2","","08","1","","01","1",316,"001","0000004"
"00017","01","3","01","1","1","1","1","1","2","2","1","2","2","1","1","04","1","","01","1",347,"001","0000005"
"00018","02","3","02","1","1","1","1","1","1","1","1","1","2","1","2","03","1","","01","1",347,"001","0000005"
