country,code,continent,population,annual_co2_emissions_per_capita,waste_per_capita_tons_year,gdp_per_capita,income,life_expectancy,child_mortality,health_spending_per_capita
Afghanistan,AFG,Asia,39068933,0.29706287,0.1624111314878749,2769.689006095969,LIC,61.4537,6.1305537,324.6671
Albania,ALB,Europe,2871900,1.640428,0.3809999926423985,14488.944459765313,UMC,77.8241,0.9433166,1070.4854
Algeria,DZA,Africa,44042041,3.8185754,0.30484963177410107,14194.171862266783,UMC,73.2568,2.2933464,720.6746
Andorra,AND,Europe,77343,4.926832,0.5216484089723527,55515.03534902965,HIC,79.4177,0.28564772,4643.1787
Angola,AGO,Africa,33451100,0.49424374,0.1679,7556.975156840881,LMC,63.1164,7.159693,217.19498
Antigua and Barbuda,ATG,North America,91818,6.74395,0.31603583496078613,23937.96917815679,HIC,77.1613,1.0062652,1168.1559
Argentina,ARG,South America,45191917,3.65377,0.41670354298345363,23877.11850121339,HIC,75.8781,1.0258212,2182.3135
Armenia,ARM,Asia,2890849,2.3506444,0.16956734177040966,15420.822707100924,UMC,68.8898,1.1571444,1675.7051
Aruba,ABW,North America,107360,7.6447096,0.8541,28847.65859724292,HIC,75.4061,NA,NA
Australia,AUS,Oceania,25743732,15.506062,0.5609655888701064,56850.3244030042,HIC,83.6639,0.37729746,6044.0747
Austria,AUT,Europe,8921362,6.9693084,0.58800001171558125,60319.474876930224,HIC,81.8037,0.34205455,6644.416
Azerbaijan,AZE,Asia,10181688,3.5586586,0.3036838474254356,18959.72551712447,UMC,70.3116,2.1330414,840.3529
Bahamas,BHS,North America,395827,5.137396,0.6824562219843966,26454.930982474667,HIC,72.9936,1.3301576,2151.6116
Bahrain,BHR,Asia,1483026,25.215979,0.6679500000350835,53421.549674112255,HIC,78.6833,0.7989208,2383.0247
Bangladesh,BGD,Asia,166297978,0.57399553,0.09489999817372775,7015.199868455406,LMC,71.4211,3.1544218,134.97675
Barbados,BRB,North America,281654,4.3926697,0.6230036400440483,15751.498331285904,HIC,76.6465,1.1065013,1081.1932
Belarus,BLR,Europe,9350896,6.3154960000000004,0.4510193036261952,26814.558045025846,UMC,72.269,0.29142,1305.5741
Belgium,BEL,Europe,11540055,7.9053583,0.41500001523851987,57351.624963832495,HIC,80.7977,0.3858776,6289.6987
Belize,BLZ,North America,390775,1.4945173,0.2821659234374652,10033.494414944662,UMC,71.5801,1.3171926,433.4064
Benin,BEN,Africa,13070131,0.42215323,0.12422409473206293,3317.8693685625644,LIC,60.154,8.554456,88.28812
Bermuda,BMU,North America,64354,6.7752743,1.2654711565171766,88656.64020884482,HIC,81.4562,NA,NA
Bhutan,BTN,Asia,769966,1.6237977,0.16203909118170254,12980.611260756968,LMC,72.2531,2.5490575,497.62997
Bolivia,BOL,South America,11816245,1.5497013,0.20691030662381857,9001.01678629717,LMC,62.906,2.5734432,657.2399
Bosnia and Herzegovina,BIH,Europe,3299297,6.3140154,0.353148125785324,16746.65435060863,UMC,76.0395,0.6574149,1588.3834
Botswana,BWA,Africa,2365846,2.3462896,0.10464936258788426,16289.721851295477,UMC,67.6426,4.3891096,940.4786
Brazil,BRA,South America,208660785,2.1336453,0.37923990235233385,17327.52045831228,UMC,74.5058,1.4871895,1465.0433
